,base_asset,compare_asset,label
1184,VTC,VWOB,0
1019,LMBS,SHV,0
1018,LMBS,PLW,0
720,FTSM,MFLX,0
719,FTSM,LMBS,0
718,FTSM,LDSF,0
717,FTSM,IUSB,0
1013,LDSF,VTC,0
1020,LMBS,SHY,0
1012,LDSF,VMBS,0
1010,LDSF,VGIT,0
1009,LDSF,VCIT,0
1008,LDSF,UITB,0
1007,LDSF,SKOR,0
1006,LDSF,SHY,0
1005,LDSF,PLW,0
1004,LDSF,MBB,0
1011,LDSF,VGSH,0
1021,LMBS,TLT,0
1022,LMBS,VGIT,0
1023,LMBS,VGLT,0
730,FTSM,UITB,0
729,FTSM,TLT,0
728,FTSM,SUSC,0
727,FTSM,SUSB,0
726,FTSM,SNLN,0
725,FTSM,SLQD,0
724,FTSM,SKOR,0
1033,MBB,VMBS,0
1032,MBB,VGSH,0
1031,MBB,VGIT,0
1030,MBB,VCLT,0
1029,MBB,SNLN,0
1028,MBB,SHY,0
723,FTSM,SHY,0
722,FTSM,SHV,0
721,FTSM,PLW,0
1024,LMBS,VGSH,0
716,FTSM,ISTB,0
715,FTSM,ISHG,0
714,FTSM,IGSB,0
713,FTSM,IGOV,0
978,ISHG,WINC,0
977,ISHG,VWOB,0
976,ISHG,VCSH,0
975,ISHG,VCIT,0
974,ISHG,USTB,0
973,ISHG,SUSB,0
972,ISHG,SLQD,0
971,ISHG,SKOR,0
970,ISHG,LDSF,0
703,FTSL,VGSH,0
702,FTSL,SHY,0
701,FTSL,PLW,0
700,FTSL,MFLX,0
699,FTSL,ISTB,0
698,FTSL,IEI,0
697,FTSL,IEF,0
866,HYXF,USTB,0
704,FTSL,VMBS,0
731,FTSM,USTB,0
705,FTSL,VTIP,0
982,ISTB,SHY,0
712,FTSM,IGIB,0
998,IUSB,VMBS,0
997,IUSB,VGSH,0
996,IUSB,SLQD,0
995,IUSB,SHY,0
994,IUSB,MBB,0
993,IUSB,LDSF,0
711,FTSM,IEI,0
710,FTSM,IEF,0
709,FTSM,HYXF,0
708,FTSM,HYLS,0
707,FTSM,HNDL,0
706,FTSM,GNMA,0
986,ISTB,VWOB,0
985,ISTB,VGSH,0
984,ISTB,SUSB,0
983,ISTB,SLQD,0
981,ISTB,LDSF,0
732,FTSM,VCIT,0
733,FTSM,VCLT,0
734,FTSM,VCSH,0
1124,SKOR,VGSH,0
1123,SKOR,VCIT,0
1122,SKOR,UITB,0
1121,SKOR,SUSB,0
1120,SKOR,SLQD,0
1119,SHY,VWOB,0
1118,SHY,VTC,0
1117,SHY,VMBS,0
1116,SHY,VCSH,0
1115,SHY,VCIT,0
1114,SHY,UITB,0
1113,SHY,SUSC,0
1112,SHY,SUSB,0
1111,SHY,SNLN,0
1110,SHY,SLQD,0
1109,SHY,SKOR,0
811,GNMA,IEF,0
1125,SKOR,VWOB,0
812,GNMA,IEI,0
1126,SLQD,UITB,0
1128,SLQD,VCIT,0
1145,SNLN,VTIP,0
1144,SNLN,VTC,0
1143,SNLN,VMBS,0
1142,SNLN,VGSH,0
1141,SNLN,VGLT,0
1140,SNLN,VGIT,0
1139,SNLN,VCSH,0
1138,SNLN,VCLT,0
875,HYZD,IGSB,0
1136,SNLN,USTB,0
1135,SNLN,UITB,0
1134,SNLN,TLT,0
1133,SNLN,SUSC,0
1132,SNLN,SUSB,0
1131,SLQD,VWOB,0
1130,SLQD,VGSH,0
1129,SLQD,VGIT,0
1127,SLQD,USTB,0
695,FTQI,VTIP,0
813,GNMA,IUSB,0
815,GNMA,LMBS,0
857,HYXF,IGIB,0
858,HYXF,IGOV,0
859,HYXF,ISHG,0
860,HYXF,IUSB,0
861,HYXF,PLW,0
862,HYXF,SHY,0
863,HYXF,SNLN,0
864,HYXF,SUSC,0
865,HYXF,UITB,0
742,FTSM,WINC,0
741,FTSM,VWOB,0
740,FTSM,VTIP,0
739,FTSM,VTC,0
738,FTSM,VMBS,0
737,FTSM,VGSH,0
736,FTSM,VGLT,0
735,FTSM,VGIT,0
856,HYXF,IEI,0
814,GNMA,LDSF,0
855,HYXF,IEF,0
853,HYLS,UITB,0
816,GNMA,MBB,0
817,GNMA,PLW,0
818,GNMA,SHY,0
819,GNMA,SNLN,0
820,GNMA,VGIT,0
821,GNMA,VGSH,0
839,HISF,MFLX,0
840,HISF,VTIP,0
844,HNDL,SHY,0
845,HNDL,SNLN,0
846,HNDL,USTB,0
847,HNDL,WINC,0
848,HYLS,IGOV,0
849,HYLS,ISHG,0
850,HYLS,SHY,0
851,HYLS,SNLN,0
852,HYLS,SUSC,0
854,HYLS,USTB,0
1146,SNLN,VWOB,0
867,HYXF,VCIT,0
869,HYXF,VGSH,0
628,FEMB,VGSH,0
629,FEMB,VMBS,0
916,IEI,SUSB,0
915,IEI,SNLN,0
914,IEI,SLQD,0
913,IEI,SKOR,0
912,IEI,MBB,0
627,FEMB,VGLT,0
911,IEI,LMBS,0
637,FIXD,IEI,0
638,FIXD,IUSB,0
639,FIXD,LDSF,0
640,FIXD,MBB,0
641,FIXD,SHY,0
642,FIXD,SKOR,0
643,FIXD,SNLN,0
636,FIXD,GNMA,0
626,FEMB,VGIT,0
625,FEMB,VCSH,0
624,FEMB,VCIT,0
607,FEMB,IEI,0
608,FEMB,IGIB,0
609,FEMB,IGOV,0
610,FEMB,IGSB,0
611,FEMB,ISHG,0
612,FEMB,ISTB,0
613,FEMB,IUSB,0
614,FEMB,MBB,0
615,FEMB,PLW,0
616,FEMB,SHV,0
617,FEMB,SHY,0
618,FEMB,SKOR,0
619,FEMB,SLQD,0
620,FEMB,SUSB,0
621,FEMB,TLT,0
622,FEMB,UITB,0
623,FEMB,USTB,0
644,FIXD,VCLT,0
645,FIXD,VTC,0
646,FIXD,VWOB,0
647,FMB,HNDL,0
892,HYZD,VCSH,0
891,HYZD,VCLT,0
890,HYZD,VCIT,0
889,HYZD,USTB,0
888,HYZD,UITB,0
887,HYZD,TLT,0
886,HYZD,SUSC,0
885,HYZD,SUSB,0
884,HYZD,SLQD,0
883,HYZD,SKOR,0
882,HYZD,SHY,0
881,HYZD,PLW,0
880,HYZD,MFLX,0
879,HYZD,MBB,0
878,HYZD,IUSB,0
877,HYZD,ISTB,0
876,HYZD,ISHG,0
893,HYZD,VGIT,0
606,FEMB,IEF,0
894,HYZD,VGLT,0
896,HYZD,VMBS,0
648,FMB,HYLS,0
649,FMB,HYXF,0
650,FMB,SNLN,0
910,IEI,LDSF,0
909,IEI,IUSB,0
